time_ms,x1,y1,z1,x2,y2,z2
Calibrating sensors... Please keep them stationary!
Offsets calculated: 0.007, -0.008, -0.968 | 0.006, 0.055, -1.021
Calibration complete. Now measuring real data:
Time(ms), X1(g), Y1(g), Z1(g), X2(g), Y2(g), Z2(g)
34343, 0.206, 0.074, 0.130, 0.015, 0.010, 0.005
34550, 0.280, 0.251, 0.012, -0.015, 0.025, -0.055
34756, -0.046, -0.089, 0.026, -0.000, 0.025, -0.010
34962, 0.102, -0.015, 0.012, -0.000, 0.025, -0.040
35169, 0.013, 0.103, -0.018, -0.000, 0.010, 0.020
35375, -0.016, -0.015, 0.071, 0.074, 0.025, -0.025
35581, 0.102, 0.074, 0.041, 0.015, 0.055, 0.020
35787, -0.268, -0.030, -0.018, -0.000, 0.025, -0.010
35994, -0.061, 0.059, -0.092, 0.015, 0.025, -0.010
36200, 0.028, -0.119, -0.018, 0.015, 0.010, 0.020
36406, 0.028, -0.119, 0.026, 0.015, 0.040, 0.020
36613, 0.028, 0.074, -0.063, 0.015, 0.010, 0.005
36818, 0.028, 0.133, 0.026, 0.015, 0.010, -0.010
37025, 0.073, 0.029, -0.033, 0.059, -0.020, 0.005
37231, -0.031, -0.060, -0.048, -0.000, 0.010, 0.005
37438, 0.013, 0.059, -0.003, 0.015, -0.020, 0.005
37644, 0.413, 0.192, 0.115, -0.000, -0.005, 0.020
37850, -0.016, 0.118, 0.026, 0.015, -0.005, 0.049
38056, 0.028, 0.059, -0.033, -0.000, 0.010, 0.005
38262, -0.090, -0.237, 0.026, 0.015, 0.010, 0.020
38469, 0.013, -0.015, 0.012, 0.015, -0.034, 0.020
38675, -0.120, -0.045, -0.077, 0.015, 0.040, 0.005
38882, 0.236, 0.059, -0.003, 0.030, 0.025, 0.034
39088, 0.028, 0.059, 0.086, 0.044, -0.020, 0.020
39293, 0.058, -0.074, 0.026, 0.015, 0.025, 0.005
39500, -0.001, 0.088, -0.018, -0.015, 0.025, 0.020
39706, 0.028, 0.088, 0.026, -0.000, 0.025, 0.005
39913, -0.120, 0.296, -0.018, 0.015, -0.020, 0.020
40119, -0.090, -0.045, -0.033, 0.015, -0.020, 0.049
40326, -0.031, 0.044, -0.122, -0.000, 0.055, 0.020
40531, -0.090, -0.000, -0.092, 0.015, 0.010, 0.005
40737, -0.016, -0.030, 0.026, 0.044, 0.025, -0.010
40944, 0.102, 0.118, -0.033, 0.015, 0.025, 0.064
41150, 0.013, 0.162, -0.003, 0.015, -0.005, 0.005
41357, 0.236, 0.133, 0.026, 0.015, 0.010, 0.020
41563, 0.117, 0.059, -0.003, 0.015, 0.010, 0.020
41769, 0.250, -0.000, 0.145, -0.000, 0.040, -0.040
41975, 0.132, -0.000, 0.071, 0.030, 0.055, -0.040
42181, -0.061, -0.045, 0.012, -0.015, 0.025, -0.025
42388, 0.162, 0.207, 0.026, 0.044, 0.010, -0.055
42594, -0.061, 0.103, -0.063, 0.015, 0.010, -0.025
42801, -0.016, -0.000, 0.026, 0.015, 0.025, 0.020
43006, -0.105, 0.014, -0.151, 0.030, -0.005, -0.069
43213, -0.075, -0.045, -0.048, 0.030, 0.010, -0.010
43419, -0.120, 0.044, 0.041, 0.015, 0.055, 0.034
43625, 0.028, -0.060, -0.018, 0.030, 0.025, 0.005
43832, -0.031, -0.045, 0.012, 0.015, 0.025, 0.049
44038, 0.058, 0.162, -0.033, 0.015, 0.055, 0.020
44244, -0.342, -0.015, -0.151, 0.015, 0.010, -0.025
44450, -0.120, 0.029, -0.033, 0.015, 0.010, 0.079
44657, 0.088, 0.118, 0.086, -0.000, 0.025, 0.005
44863, -0.001, 0.014, 0.100, -0.000, 0.010, 0.049
45070, 0.132, 0.029, 0.012, 0.015, -0.020, 0.034
45276, -0.016, 0.266, -0.033, -0.015, 0.010, 0.005
45481, 0.028, 0.103, -0.003, 0.015, 0.010, 0.020
45688, -0.075, 0.029, -0.048, -0.030, 0.010, 0.020
45894, -0.135, -0.045, -0.107, 0.044, 0.010, 0.005
46101, -0.120, -0.000, -0.077, 0.015, 0.010, 0.049
46307, 0.117, 0.592, -0.048, -0.015, 0.010, 0.034
